date,Temperature,Dew,Humidity,Pressure
31-07-2012,30.69,20.99,15.69,100.01
01-08-2012,30.13,21.08,15.81,100.08
02-08-2012,30.41,20.19,14.95,100.05
03-08-2012,29.6,21.12,15.75,100.01
04-08-2012,29.11,21.55,16.17,99.94
05-08-2012,29.9,20.98,15.69,99.94
06-08-2012,29.87,20.28,15.01,99.99
07-08-2012,29.13,21.85,16.54,100.06
08-08-2012,28.48,23.3,18.01,100.1
09-08-2012,29.19,22.07,16.72,99.95
10-08-2012,29.87,21.68,16.36,99.85
11-08-2012,29.28,22.84,17.58,100.02
12-08-2012,28.46,22.82,17.46,100.14
13-08-2012,28.21,23.03,17.7,100.12
14-08-2012,28.03,22.4,17.09,100.13
15-08-2012,28.48,22.9,17.58,100.1
16-08-2012,29,23.03,17.76,100.01
17-08-2012,28.82,23.01,17.7,99.95
18-08-2012,29.21,22.58,17.27,99.85
19-08-2012,29.65,22.34,17.09,99.82
20-08-2012,29.87,22.6,17.33,99.91
21-08-2012,28.87,23.51,18.25,100.05
22-08-2012,28.49,24.01,18.74,100.14
23-08-2012,29.23,23.69,18.43,100.17
24-08-2012,29.2,23.51,18.25,100.12
25-08-2012,28.45,24.28,19.1,100.07
26-08-2012,28.01,22.95,17.64,100.04
27-08-2012,27.76,22.08,16.72,100.06
28-08-2012,27.93,22.77,17.4,100.08
29-08-2012,27.65,23.44,18.13,100.05
30-08-2012,27.7,23.01,17.64,100.03
31-08-2012,28.93,23.26,17.94,99.97
01-09-2012,28.25,23.02,17.7,100.01
02-09-2012,28.09,23.3,18.01,100.01
03-09-2012,28.32,23.27,18.01,99.86
04-09-2012,28.75,23.19,17.88,99.9
05-09-2012,29.44,23.05,17.76,99.99
06-09-2012,29.46,23.9,18.68,100.12
07-09-2012,28.12,23.69,18.43,100.17
08-09-2012,27.4,23.8,18.55,100.16
09-09-2012,28.11,23.12,17.82,100.14
10-09-2012,28.25,22.61,17.21,100.15
11-09-2012,28.31,22.63,17.27,100.12
12-09-2012,28.87,22.52,17.15,100.17
13-09-2012,28.55,23.44,18.13,100.24
14-09-2012,28.22,23.94,18.68,100.17
15-09-2012,28.69,23.83,18.62,100.06
16-09-2012,29,22.51,17.21,100.06
17-09-2012,28.85,23.59,18.31,100.14
18-09-2012,28.56,22.84,17.52,100.16
19-09-2012,28.3,23.8,18.55,100.11
20-09-2012,28.29,24.06,18.8,100.18
21-09-2012,28.16,24.2,18.98,100.22
22-09-2012,28.54,24.42,19.23,100.28
23-09-2012,28.72,23.02,17.7,100.23
24-09-2012,28.8,22.08,16.78,100.14
25-09-2012,27.9,21.9,16.6,100.2
26-09-2012,28.23,23.53,18.19,100.37
27-09-2012,27.08,22.83,17.4,100.44
28-09-2012,27.24,22.59,17.15,100.32
29-09-2012,27.3,22.65,17.27,100.21
30-09-2012,26.8,23.01,17.64,100.18
01-10-2012,26.74,23.45,18.13,100.19
02-10-2012,28.45,24.13,18.86,100.22
03-10-2012,28.23,22.3,17.03,100.27
04-10-2012,28.71,20.98,15.75,100.22
05-10-2012,28.9,23.24,17.88,100.31
06-10-2012,28.79,24.11,18.86,100.43
07-10-2012,27.94,23.68,18.31,100.46
08-10-2012,28.52,22.06,16.66,100.3
09-10-2012,28.63,21.52,16.11,100.18
10-10-2012,28.52,21.68,16.36,100.21
11-10-2012,28.66,21.98,16.6,100.28
12-10-2012,28.62,22.59,17.21,100.37
13-10-2012,27.83,23.6,18.25,100.44
14-10-2012,27.08,23.76,18.43,100.52
15-10-2012,26.9,23.54,18.13,100.68
16-10-2012,27.3,22.87,17.4,100.69
17-10-2012,27.06,23.27,17.82,100.63
18-10-2012,26.73,23.5,18.07,100.56
19-10-2012,26.5,24.31,19.04,100.55
20-10-2012,25.37,22.75,17.27,100.61
21-10-2012,26.4,23.19,17.76,100.57
22-10-2012,26.51,23.76,18.37,100.6
23-10-2012,26.78,23.76,18.37,100.54
24-10-2012,26.42,23.94,18.62,100.5
25-10-2012,26.48,23.55,18.19,100.43
26-10-2012,26.3,22.6,17.15,100.4
27-10-2012,26.62,22.47,17.03,100.39
28-10-2012,26.88,23.3,17.94,100.4
29-10-2012,26.94,23.15,17.76,100.35
30-10-2012,25.94,23.62,18.31,100.23
31-10-2012,26.03,24.3,19.23,99.37
01-11-2012,26.19,23.84,18.62,99.96
02-11-2012,27.15,24.52,19.35,100.11
03-11-2012,27.33,24.19,18.92,100.28
04-11-2012,26.46,23.74,18.43,100.31
05-11-2012,26.83,24.03,18.74,100.32
06-11-2012,26.45,23.55,18.19,100.42
07-11-2012,26.79,23.62,18.25,100.49
08-11-2012,26.61,22.73,17.27,100.43
09-11-2012,26.48,22.73,17.27,100.5
10-11-2012,26.06,22.4,16.91,100.64
11-11-2012,25.35,21.02,15.5,100.67
12-11-2012,25.05,21.18,15.69,100.65
13-11-2012,24.24,19.84,14.47,100.68
14-11-2012,23.77,18.85,13.61,100.53
15-11-2012,23.52,18.7,13.49,100.55
16-11-2012,23.3,18.86,13.61,100.66
17-11-2012,23.11,17.54,12.51,100.6
18-11-2012,22.48,16.12,11.47,100.48
19-11-2012,23.72,18.73,13.61,100.44
20-11-2012,25.78,22.3,16.97,100.45
21-11-2012,26.65,24.22,18.98,100.39
22-11-2012,26.61,24.97,19.84,100.36
23-11-2012,26.08,23.65,18.25,100.52
24-11-2012,25.64,22.8,17.33,100.56
25-11-2012,25.98,22.94,17.46,100.67
26-11-2012,25.72,22.35,16.85,100.71
27-11-2012,25.07,21.45,15.93,100.7
28-11-2012,24.06,19.89,14.47,100.7
29-11-2012,23.86,19.35,13.98,100.59
30-11-2012,24.14,19.42,14.1,100.61
01-12-2012,24.48,19.96,14.53,100.6
02-12-2012,24.42,20.29,14.83,100.64
03-12-2012,25.35,23.3,17.88,100.5
04-12-2012,25.67,23.92,18.62,100.45
05-12-2012,26.4,24.21,18.92,100.54
06-12-2012,25.83,22.68,17.21,100.72
07-12-2012,25.4,21.63,16.11,100.71
08-12-2012,24.44,21.06,15.56,100.7
09-12-2012,24.26,19.84,14.47,100.63
10-12-2012,24.03,20.26,14.83,100.62
11-12-2012,24.62,21.03,15.56,100.68
12-12-2012,24.69,21.15,15.69,100.66
13-12-2012,24.86,21.44,15.93,100.73
14-12-2012,24.62,21.13,15.62,100.89
15-12-2012,24.33,20.34,14.83,100.95
16-12-2012,24.6,20.19,14.71,100.92
17-12-2012,24.7,20.32,14.83,100.81
18-12-2012,24.19,19.94,14.47,100.82
19-12-2012,24.12,20.13,14.71,100.72
20-12-2012,24.33,20.59,15.14,100.61
21-12-2012,24.21,20.32,14.89,100.67
22-12-2012,23.74,19.89,14.47,100.71
23-12-2012,24.01,20.19,14.71,100.72
24-12-2012,24.33,20.12,14.65,100.66
25-12-2012,24.7,20.81,15.32,100.54
26-12-2012,25.05,21.66,16.17,100.49
27-12-2012,24.72,21.51,16.05,100.47
28-12-2012,25.2,22.59,17.15,100.38
29-12-2012,25.69,23.39,18.01,100.38
30-12-2012,26.17,23.69,18.31,100.45
31-12-2012,25.94,22.85,17.4,100.48
01-01-2013,25.12,21.2,15.69,100.61
02-01-2013,23.98,20.4,14.95,100.69
03-01-2013,24.89,22.04,16.54,100.73
04-01-2013,25.32,22.55,17.09,100.65
05-01-2013,25.3,22.2,16.72,100.5
06-01-2013,25.21,21.91,16.42,100.54
07-01-2013,24.65,20.78,15.32,100.62
08-01-2013,24.93,20.54,15.08,100.71
09-01-2013,24.79,20.5,15.01,100.75
10-01-2013,24.3,20.03,14.59,100.72
11-01-2013,23.81,19.96,14.53,100.8
12-01-2013,23.73,19.21,13.85,100.92
13-01-2013,23.38,18.12,12.94,100.79
14-01-2013,23.36,18.23,13.06,100.75
15-01-2013,23.73,19.36,13.98,100.86
16-01-2013,24.06,19.99,14.53,100.94
17-01-2013,24.08,19.25,13.85,100.91
18-01-2013,24.51,18.94,13.61,100.92
19-01-2013,24.49,18.01,12.82,100.87
20-01-2013,24.54,19.95,14.53,100.86
21-01-2013,24.44,17.68,12.63,100.96
22-01-2013,24.24,18.16,13,101
23-01-2013,24.25,18.36,13.12,101
24-01-2013,24.26,18.13,13,100.92
25-01-2013,24.02,18.07,12.88,100.95
26-01-2013,24.29,18.48,13.24,100.97
27-01-2013,24.85,19.01,13.67,100.98
28-01-2013,25.05,19.26,13.92,100.89
29-01-2013,25.09,19.73,14.34,100.8
30-01-2013,25.11,20,14.59,100.87
31-01-2013,24.44,19.03,13.67,100.94
01-02-2013,23.93,17.21,12.27,100.94
02-02-2013,23.69,17.66,12.63,100.87
03-02-2013,23.81,17.76,12.76,100.82
04-02-2013,24.66,19.9,14.53,100.88
05-02-2013,25.62,20.66,15.14,100.91
06-02-2013,25.77,19.87,14.47,100.89
07-02-2013,25.66,19.19,13.98,100.67
08-02-2013,25.86,19.23,14.04,100.58
09-02-2013,25.71,19.32,14.04,100.62
10-02-2013,25.84,20.24,14.83,100.65
11-02-2013,26.05,20.31,14.89,100.68
12-02-2013,25.85,19.33,14.04,100.63
13-02-2013,25.84,20.42,15.01,100.59
14-02-2013,26.73,21.83,16.36,100.63
15-02-2013,26.01,21.63,16.17,100.59
16-02-2013,26.78,22.23,16.78,100.34
17-02-2013,26.71,23.1,17.7,100.28
18-02-2013,27.12,22.36,16.91,100.41
19-02-2013,26.76,21.23,15.81,100.59
20-02-2013,25.91,20.34,14.95,100.69
21-02-2013,25.74,19.71,14.34,100.77
22-02-2013,25.54,19.92,14.53,100.87
23-02-2013,25.51,18.99,13.73,100.91
24-02-2013,24.87,17.71,12.76,100.85
25-02-2013,25.12,16.62,11.96,100.86
26-02-2013,25.66,16.83,12.15,100.83
27-02-2013,26.5,17.81,12.94,100.77
28-02-2013,26.81,18.56,13.61,100.62
01-03-2013,26.4,16.94,12.39,100.65
02-03-2013,26.35,19.13,13.98,100.72
03-03-2013,26.12,18.49,13.49,100.73
04-03-2013,26.98,19.58,14.22,100.77
05-03-2013,27.26,21.8,16.3,100.74
06-03-2013,27.11,23.37,17.94,100.76
07-03-2013,27.33,22.84,17.33,100.78
08-03-2013,27.16,21.98,16.48,100.82
09-03-2013,27.94,21.29,15.87,100.69
10-03-2013,27.97,21.28,15.93,100.51
11-03-2013,27.54,20.12,14.89,100.58
12-03-2013,27.24,19.81,14.59,100.64
13-03-2013,27.39,19.73,14.53,100.64
14-03-2013,27.41,19.9,14.77,100.63
15-03-2013,26.99,20.31,15.01,100.73
16-03-2013,27.01,19.13,14.04,100.79
17-03-2013,27.32,18.83,13.73,100.7
18-03-2013,27.25,19.69,14.53,100.52
19-03-2013,27.94,20.23,15.01,100.48
20-03-2013,28.27,20.54,15.32,100.55
21-03-2013,28.24,19.58,14.53,100.43
22-03-2013,29,18.95,14.16,100.28
23-03-2013,28.69,19.98,14.89,100.37
24-03-2013,27.91,19.69,14.65,100.5
25-03-2013,28.64,19.9,14.83,100.42
26-03-2013,29.65,20.8,15.81,100.28
27-03-2013,29.74,21.55,16.42,100.3
28-03-2013,29.33,21.13,16.05,100.39
29-03-2013,29.62,22.64,17.4,100.33
30-03-2013,30.01,23.3,18.07,100.24
31-03-2013,29.8,22.8,17.46,100.27
01-04-2013,29.87,22.51,17.21,100.32
02-04-2013,30,23.34,18.01,100.38
03-04-2013,30.11,21.19,15.87,100.35
04-04-2013,30.7,21.74,16.42,100.22
05-04-2013,31.84,22.48,17.27,100.09
06-04-2013,31.8,21.93,16.97,100.06
07-04-2013,31.53,22.76,17.64,100.03
08-04-2013,30.89,23.61,18.43,100.18
09-04-2013,30.63,23.11,17.94,100.25
10-04-2013,30.33,21.34,16.24,100.29
11-04-2013,29.86,21.16,16.05,100.27
12-04-2013,30.31,22.32,17.09,100.33
13-04-2013,30.43,21.4,16.11,100.46
14-04-2013,30.48,24.01,18.74,100.43
15-04-2013,31.58,23.6,18.43,100.21
16-04-2013,32.8,23.17,18.07,100.02
17-04-2013,32.88,23.28,18.25,99.89
18-04-2013,32.48,23.23,18.13,99.99
19-04-2013,32.01,22.32,17.15,100.04
20-04-2013,31.48,22.5,17.33,100.12
21-04-2013,31.01,23.12,17.94,100.17
22-04-2013,30.87,23.55,18.31,100.25
23-04-2013,31.09,23.37,18.07,100.39
24-04-2013,30.46,23.49,18.19,100.47
25-04-2013,30.73,23.16,17.88,100.45
26-04-2013,30.53,22.9,17.58,100.42
27-04-2013,31.23,21.66,16.36,100.34
28-04-2013,31.83,22.99,17.76,100.15
29-04-2013,31.93,23.14,18.07,100.12
30-04-2013,31.38,23.43,18.25,100.18
01-05-2013,31.15,23.13,17.94,100.12
02-05-2013,32.08,23.65,18.62,99.91
03-05-2013,32.79,23.46,18.43,99.82
04-05-2013,32.72,24.14,19.17,99.86
05-05-2013,32.05,24.02,18.92,100.03
06-05-2013,31.41,24.03,18.92,100.07
07-05-2013,31.6,23.88,18.8,100.07
08-05-2013,33.15,23.35,18.25,99.98
09-05-2013,33.33,24.13,19.1,99.98
10-05-2013,33.82,21.62,16.78,100
11-05-2013,33.8,22.15,17.4,99.78
12-05-2013,33.12,24.18,19.29,99.78
13-05-2013,30.96,22.8,17.64,99.87
14-05-2013,32.33,23.27,18.19,99.65
15-05-2013,32.1,24.15,19.17,99.65
16-05-2013,31.48,23.23,18.13,99.82
17-05-2013,32.05,23.33,18.31,99.93
18-05-2013,31.86,24.24,19.29,99.96
19-05-2013,31.62,23.98,18.92,99.95
20-05-2013,31.06,24.79,19.78,100
21-05-2013,32.83,19.53,14.89,100.04
22-05-2013,33.05,21.72,16.72,99.87
23-05-2013,33.7,22.83,17.7,99.8
24-05-2013,33.79,21.87,16.66,99.79
25-05-2013,30.65,22.11,16.78,99.97
26-05-2013,29.99,21.44,16.05,100.01
27-05-2013,31.56,22.08,16.78,99.93
28-05-2013,30.39,21.54,16.17,100.08
29-05-2013,29.09,22.52,17.21,100
30-05-2013,30.86,23.08,17.82,99.83
31-05-2013,29.68,24.15,19.04,99.86
01-06-2013,28.58,23.27,18.01,99.87
02-06-2013,28.39,23.85,18.62,99.8
03-06-2013,28.84,23.19,17.94,99.79
04-06-2013,29.21,23.32,18.07,99.85
05-06-2013,29.38,23.7,18.49,99.92
06-06-2013,28.44,24.17,19.04,99.84
07-06-2013,28.83,24.73,19.65,99.76
08-06-2013,27.58,22.86,17.58,99.88
09-06-2013,29.39,21.58,16.24,99.86
10-06-2013,28.96,20.98,15.62,99.87
11-06-2013,29.18,22.46,17.15,99.75
12-06-2013,29.4,21.87,16.6,99.61
13-06-2013,29.33,20.95,15.69,99.5
14-06-2013,29.28,20.13,14.95,99.48
15-06-2013,29.7,21.58,16.3,99.57
16-06-2013,30.56,22.2,16.91,99.71
17-06-2013,30.54,21.97,16.66,99.81
18-06-2013,30.38,21.58,16.3,99.72
19-06-2013,30.44,22.65,17.4,99.76
20-06-2013,30.67,21.88,16.6,99.84
21-06-2013,30.75,22.28,16.97,99.82
22-06-2013,29.8,21.53,16.24,99.83
23-06-2013,29.7,19.75,14.59,99.75
24-06-2013,30.17,20.68,15.38,99.75
25-06-2013,31.15,21.11,15.81,99.89
26-06-2013,30.71,22.69,17.4,100.07
27-06-2013,29.62,23.26,17.94,100.08
28-06-2013,29.54,22.72,17.46,100.04
29-06-2013,29.74,22.53,17.21,100.1
30-06-2013,29.15,22.04,16.66,100.15
01-07-2013,29.16,21.47,16.11,99.96
02-07-2013,29.73,21.01,15.69,99.77
03-07-2013,28.4,21.54,16.24,99.83
04-07-2013,29.43,22.31,17.03,99.74
05-07-2013,29.19,22.72,17.46,99.79
06-07-2013,29.62,23.3,18.07,99.86
07-07-2013,28.77,22.76,17.46,99.92
08-07-2013,28.92,22.48,17.15,99.88
09-07-2013,28.98,22.1,16.78,99.83
10-07-2013,28.35,22.62,17.33,99.81
11-07-2013,28.68,21.59,16.3,99.83
12-07-2013,27.97,22.48,17.15,99.91
13-07-2013,29.08,22.37,17.03,99.96
14-07-2013,28.98,22.57,17.27,99.9
15-07-2013,28.88,23.4,18.13,99.85
16-07-2013,28.07,22.77,17.46,99.89
17-07-2013,28.62,22.22,16.85,99.92
18-07-2013,28.9,22.17,16.85,99.83
19-07-2013,27.76,23.19,17.94,99.76
20-07-2013,28.63,22.95,17.64,99.88
21-07-2013,27.36,22.96,17.7,99.82
22-07-2013,27.87,22.76,17.46,99.7
23-07-2013,28.57,22.46,17.15,99.73
24-07-2013,28.44,21.66,16.3,99.85
25-07-2013,29.03,20.96,15.62,99.93
26-07-2013,29.25,21.48,16.11,99.87
27-07-2013,29.19,22.65,17.33,100.03
28-07-2013,29.79,22.7,17.33,100.17
29-07-2013,29.06,21,15.62,100.16
30-07-2013,29.67,21.12,15.81,99.88
31-07-2013,30.06,21.03,15.75,99.71
01-08-2013,29.84,21.43,16.11,99.75
02-08-2013,29.97,21.83,16.48,99.81
03-08-2013,29.52,22.05,16.72,99.98
04-08-2013,28.92,23.03,17.76,99.91
05-08-2013,27.16,22.82,17.52,99.97
06-08-2013,28.51,22.48,17.15,99.96
07-08-2013,29.58,22.5,17.21,100.01
08-08-2013,29.73,23.44,18.19,100
09-08-2013,26.71,22.91,17.58,100.06
10-08-2013,28.57,22.64,17.27,100.02
11-08-2013,28.76,23.11,17.82,100.05
12-08-2013,28.55,23.14,17.88,99.94
13-08-2013,28.81,23.01,17.7,99.85
14-08-2013,27.5,22.89,17.58,99.91
15-08-2013,27.17,23.26,17.94,100
16-08-2013,27.12,23.85,18.62,99.99
17-08-2013,27.88,23.67,18.37,100.06
18-08-2013,28.27,23.65,18.37,100.08
19-08-2013,28.18,23.82,18.55,100.08
20-08-2013,28.82,23.43,18.13,99.97
21-08-2013,28.46,22.82,17.52,99.86
22-08-2013,29.08,22.73,17.4,99.9
23-08-2013,29.2,22.61,17.27,99.96
24-08-2013,29.07,22.88,17.58,99.97
25-08-2013,29.08,23.05,17.76,99.91
26-08-2013,28.45,22.84,17.52,99.96
27-08-2013,28.74,23.58,18.31,100.03
28-08-2013,28.34,24.47,19.29,100.17
29-08-2013,28.38,24.62,19.47,100.25
30-08-2013,28.66,24.32,19.1,100.19
